colID,logFC,fracExprIN,fracExprOUT,rank.sum,p.value,cluster,gene
1764,2977,3.03524559114444,0.95970695970696,0.925373134328358,79172.5,2.31116478252447e-22,1,Anxa4
305,514,5.29823376715592,0.813186813186813,0.646766169154229,79049.5,2.33375444479365e-22,1,Dok2
2358,3991,2.57087111070471,0.967032967032967,0.91044776119403,79156,2.5774075559346e-22,1,Klhl6
2494,4252,1.07200875324976,1,1,79147,2.76077354972969e-22,1,H2-Q7
2288,3879,1.98095925562559,0.974358974358974,0.975124378109453,79141.5,2.86150176146841e-22,1,Hcls1
957,1635,2.56768620710934,0.725274725274725,0.398009950248756,78622.5,2.94584863146415e-22,1,Gbp2
2141,3607,5.86863024153529,0.838827838827839,0.676616915422886,79010,3.84992191422627e-22,1,Cd52
572,971,5.88933551895898,0.831501831501832,0.701492537313433,78953,5.89479280688386e-22,1,Ctss
769,1308,4.13246661226414,0.743589743589744,0.462686567164179,78609,7.86926260394639e-22,1,Casp4
2422,4105,3.14803305756967,0.761904761904762,0.482587064676617,78622,1.04664098229367e-21,1,H2-DMb1
70,119,7.86078386457514,0.483516483516484,0.0945273631840796,76462,1.43484332830521e-21,1,Gimap3
503,842,6.96305905791709,0.604395604395604,0.27363184079602,77741,1.76857404289645e-21,1,S100a6
2242,3784,7.48533238244344,0.641025641025641,0.308457711442786,77870,3.29157428922032e-21,1,Maged2
2086,3505,3.03365884881017,0.875457875457875,0.691542288557214,78691,3.76850277433014e-21,1,Dennd2d
524,882,2.87016657412132,0.388278388278388,0.870646766169154,51464,5.63663088218853e-21,1,Tubb6
460,767,4.42633920341294,0.703296703296703,0.437810945273632,78197.5,5.86451135242641e-21,1,Cish
2571,4400,2.85259724318442,0.886446886446886,0.776119402985075,78639.5,6.35223873078634e-21,1,Ppm1h
1728,2923,2.80370848186293,0.853479853479853,0.72636815920398,78611,6.40379671853889e-21,1,Uap1l1
968,1651,6.50647347890608,0.619047619047619,0.27363184079602,77593,7.31466147845662e-21,1,Chrnb1
1182,2045,2.92519353785722,0.875457875457875,0.736318407960199,78592,7.86971076954269e-21,1,Zfp945
1427,2458,3.61648355693685,0.765567765567766,0.557213930348259,78384,8.77881830016261e-21,1,Arhgef3
935,1583,1.46333432217593,0.985347985347985,0.995024875621891,78600,9.83226269353372e-21,1,Capg
308,517,7.82742685446662,0.538461538461538,0.17910447761194,76900,1.00666466801086e-20,1,Fcgrt
592,996,6.38213899641916,0.853479853479853,0.741293532338308,78538,1.05939746587258e-20,1,Lbp
2481,4228,7.33719678635684,0.586080586080586,0.238805970149254,77304.5,1.13516350282023e-20,1,Vipr2
1148,1994,5.69132169217,0.82051282051282,0.686567164179104,78472.5,1.243322600193e-20,1,Esr1
1316,2271,7.02317055708522,0.695970695970696,0.482587064676617,78113,1.43992549511584e-20,1,Scarf1
2512,4293,1.28370192592594,1,1,78515,1.69229382116127e-20,1,Nfe2
2572,4401,8.00006678976639,0.571428571428571,0.213930348258706,77099,1.79255275905419e-20,1,Mamdc2
2532,4329,4.75025401856869,0.717948717948718,0.45771144278607,78084.5,1.81749832770117e-20,1,Laptm4b
1832,3106,3.99071805138644,0.904761904761905,0.870646766169154,78454,2.35527506946588e-20,1,Rab31
2728,4683,6.5817217676787,0.794871794871795,0.621890547263682,78302,2.56116948967101e-20,1,Myadm
1370,2357,6.89597181122164,0.663003663003663,0.383084577114428,77789,2.57400078540067e-20,1,Gm5111
2477,4221,4.94467004591162,0.556776556776557,0.189054726368159,76844.5,3.73614445010299e-20,1,Als2cl
719,1218,2.35209681246514,0.904761904761905,0.761194029850746,78353,4.01220383454061e-20,1,Nceh1
364,614,7.863562037515,0.542124542124542,0.194029850746269,76767,4.45756627175763e-20,1,Gimap8
2691,4612,8.15708147514069,0.516483516483517,0.159203980099502,76490,4.89022058039729e-20,1,Robo4
87,150,0.147033320166988,0.937728937728938,1,51356,5.83328856269856e-20,1,Ndrg3
664,1117,6.60111305521568,0.732600732600733,0.512437810945274,77978,6.677398172279e-20,1,Gucy1a3
1111,1933,7.55132520477201,0.578754578754579,0.238805970149254,77015.5,6.92728875610938e-20,1,Pygm
